service_id,date,exception_type
238479,20260102,1
238668,20260102,1
238913,20260102,1
238987,20260102,1
238989,20260102,1
239283,20260102,1
239427,20260102,1
239587,20260102,1
239648,20260102,1
239650,20260102,1
239667,20260102,1
239669,20260102,1
239721,20260102,1
240203,20260102,1
240258,20260102,1
240272,20260102,1
240428,20260102,1
240452,20260102,1
240454,20260102,1
241786,20260102,1
241806,20260102,1
241817,20260102,1
241818,20260102,1
241896,20260102,1
241897,20260102,1
241902,20260102,1
242562,20260102,1
242651,20260102,1
242659,20260102,1
237324,20260102,1
237320,20260103,1
242908,20260103,1
237361,20260103,1
237936,20260103,1
237943,20260103,1
237948,20260103,1
237949,20260103,1
238096,20260103,1
238400,20260103,1
238458,20260103,1
238486,20260103,1
240260,20260103,1
240323,20260103,1
240451,20260103,1
240454,20260103,1
240499,20260103,1
240957,20260103,1
242560,20260103,1
242562,20260103,1
242587,20260103,1
242588,20260103,1
242589,20260103,1
242655,20260103,1
242657,20260103,1
237321,20260103,1
237321,20260104,1
242908,20260104,1
237936,20260104,1
237937,20260104,1
237943,20260104,1
237948,20260104,1
237949,20260104,1
238400,20260104,1
238458,20260104,1
238486,20260104,1
238668,20260104,1
240260,20260104,1
240451,20260104,1
240452,20260104,1
240454,20260104,1
240499,20260104,1
240957,20260104,1
241902,20260104,1
242560,20260104,1
242562,20260104,1
242587,20260104,1
242588,20260104,1
242589,20260104,1
242651,20260104,1
242655,20260104,1
242657,20260104,1
242659,20260104,1
237328,20260104,1
238668,20260105,1
238479,20260105,1
238918,20260105,1
238919,20260105,1
238987,20260105,1
238989,20260105,1
239283,20260105,1
239427,20260105,1
239574,20260105,1
239587,20260105,1
239648,20260105,1
239650,20260105,1
239667,20260105,1
239669,20260105,1
239721,20260105,1
239763,20260105,1
240203,20260105,1
240258,20260105,1
240272,20260105,1
240428,20260105,1
240452,20260105,1
240454,20260105,1
241786,20260105,1
241806,20260105,1
241817,20260105,1
241818,20260105,1
241896,20260105,1
241897,20260105,1
241902,20260105,1
242562,20260105,1
242651,20260105,1
242659,20260105,1
242906,20260105,1
237319,20260105,1
237324,20260105,1
237328,20260105,1
237356,20260105,1
237919,20260105,1
237937,20260105,1
237961,20260105,1
237966,20260105,1
238018,20260105,1
238427,20260105,1
238917,20260105,1
240428,20260106,1
240323,20260106,1
241786,20260106,1
241806,20260106,1
241817,20260106,1
241818,20260106,1
241896,20260106,1
241897,20260106,1
242906,20260106,1
237319,20260106,1
237320,20260106,1
237324,20260106,1
237356,20260106,1
237361,20260106,1
237919,20260106,1
237961,20260106,1
237966,20260106,1
238018,20260106,1
238096,20260106,1
238427,20260106,1
238479,20260106,1
238917,20260106,1
238918,20260106,1
238919,20260106,1
238987,20260106,1
238989,20260106,1
239283,20260106,1
239427,20260106,1
239574,20260106,1
239587,20260106,1
239648,20260106,1
239650,20260106,1
239667,20260106,1
239669,20260106,1
239721,20260106,1
239763,20260106,1
240203,20260106,1
240258,20260106,1
240272,20260106,1
240454,20260106,1
237319,20260107,1
242906,20260107,1
237324,20260107,1
237356,20260107,1
237361,20260107,1
237919,20260107,1
237961,20260107,1
237966,20260107,1
238018,20260107,1
238096,20260107,1
238427,20260107,1
238479,20260107,1
238917,20260107,1
238918,20260107,1
238919,20260107,1
238987,20260107,1
238989,20260107,1
239283,20260107,1
239427,20260107,1
239574,20260107,1
239587,20260107,1
239648,20260107,1
239650,20260107,1
239667,20260107,1
239669,20260107,1
239721,20260107,1
239763,20260107,1
240203,20260107,1
240258,20260107,1
240272,20260107,1
240323,20260107,1
240428,20260107,1
240454,20260107,1
241786,20260107,1
241806,20260107,1
241817,20260107,1
241818,20260107,1
241896,20260107,1
241897,20260107,1
237320,20260107,1
238987,20260108,1
238919,20260108,1
239283,20260108,1
239427,20260108,1
239574,20260108,1
239587,20260108,1
239648,20260108,1
239650,20260108,1
239667,20260108,1
239669,20260108,1
239721,20260108,1
239763,20260108,1
240203,20260108,1
240258,20260108,1
240272,20260108,1
240323,20260108,1
240428,20260108,1
240454,20260108,1
241786,20260108,1
241806,20260108,1
241817,20260108,1
241818,20260108,1
241896,20260108,1
241897,20260108,1
242906,20260108,1
237319,20260108,1
237320,20260108,1
237324,20260108,1
237356,20260108,1
237361,20260108,1
237919,20260108,1
237961,20260108,1
237966,20260108,1
238018,20260108,1
238096,20260108,1
238427,20260108,1
238479,20260108,1
238917,20260108,1
238918,20260108,1
238989,20260108,1
242906,20260109,1
241897,20260109,1
237320,20260109,1
237324,20260109,1
237356,20260109,1
237361,20260109,1
237919,20260109,1
237961,20260109,1
237966,20260109,1
238018,20260109,1
238096,20260109,1
238427,20260109,1
238479,20260109,1
238917,20260109,1
238918,20260109,1
238919,20260109,1
238987,20260109,1
238989,20260109,1
239283,20260109,1
239427,20260109,1
239574,20260109,1
239587,20260109,1
239648,20260109,1
239650,20260109,1
239667,20260109,1
239669,20260109,1
239721,20260109,1
239763,20260109,1
240203,20260109,1
240258,20260109,1
240272,20260109,1
240323,20260109,1
240428,20260109,1
240454,20260109,1
241786,20260109,1
241806,20260109,1
241817,20260109,1
241818,20260109,1
241896,20260109,1
237319,20260109,1
237320,20260110,1
242908,20260110,1
237361,20260110,1
237936,20260110,1
237943,20260110,1
237948,20260110,1
237949,20260110,1
238096,20260110,1
238400,20260110,1
238458,20260110,1
238486,20260110,1
240260,20260110,1
240323,20260110,1
240451,20260110,1
240454,20260110,1
240499,20260110,1
240957,20260110,1
242560,20260110,1
242562,20260110,1
242587,20260110,1
242588,20260110,1
242589,20260110,1
242655,20260110,1
242657,20260110,1
237321,20260110,1
237321,20260111,1
242908,20260111,1
237936,20260111,1
237937,20260111,1
237943,20260111,1
237948,20260111,1
237949,20260111,1
238400,20260111,1
238458,20260111,1
238486,20260111,1
238668,20260111,1
240260,20260111,1
240451,20260111,1
240452,20260111,1
240454,20260111,1
240499,20260111,1
240957,20260111,1
241902,20260111,1
242560,20260111,1
242562,20260111,1
242587,20260111,1
242588,20260111,1
242589,20260111,1
242651,20260111,1
242655,20260111,1
242657,20260111,1
242659,20260111,1
237328,20260111,1
238479,20260112,1
238427,20260112,1
238917,20260112,1
238918,20260112,1
238919,20260112,1
238987,20260112,1
238989,20260112,1
239283,20260112,1
239427,20260112,1
239574,20260112,1
239587,20260112,1
239648,20260112,1
239650,20260112,1
239667,20260112,1
239669,20260112,1
239721,20260112,1
239763,20260112,1
240203,20260112,1
240258,20260112,1
240272,20260112,1
240428,20260112,1
240452,20260112,1
240454,20260112,1
241786,20260112,1
241806,20260112,1
241817,20260112,1
241818,20260112,1
241896,20260112,1
241897,20260112,1
241902,20260112,1
242562,20260112,1
242651,20260112,1
242659,20260112,1
242906,20260112,1
237319,20260112,1
237324,20260112,1
237328,20260112,1
237356,20260112,1
237919,20260112,1
237937,20260112,1
237961,20260112,1
237966,20260112,1
238018,20260112,1
238668,20260112,1
242906,20260113,1
240272,20260113,1
240428,20260113,1
240454,20260113,1
241786,20260113,1
241806,20260113,1
241817,20260113,1
241818,20260113,1
241896,20260113,1
241897,20260113,1
237319,20260113,1
237320,20260113,1
237324,20260113,1
237356,20260113,1
237361,20260113,1
237919,20260113,1
237961,20260113,1
237966,20260113,1
238018,20260113,1
238096,20260113,1
238427,20260113,1
238479,20260113,1
238917,20260113,1
238918,20260113,1
238919,20260113,1
238987,20260113,1
238989,20260113,1
239283,20260113,1
239427,20260113,1
239574,20260113,1
239587,20260113,1
239648,20260113,1
239650,20260113,1
239667,20260113,1
239669,20260113,1
239721,20260113,1
239763,20260113,1
240203,20260113,1
240258,20260113,1
240323,20260113,1
237919,20260114,1
237361,20260114,1
237966,20260114,1
238018,20260114,1
238096,20260114,1
238427,20260114,1
238479,20260114,1
238917,20260114,1
238918,20260114,1
238919,20260114,1
238987,20260114,1
238989,20260114,1
239283,20260114,1
239427,20260114,1
239574,20260114,1
239587,20260114,1
239648,20260114,1
239650,20260114,1
239667,20260114,1
239669,20260114,1
239721,20260114,1
239763,20260114,1
240203,20260114,1
240258,20260114,1
240272,20260114,1
240323,20260114,1
240428,20260114,1
240454,20260114,1
241786,20260114,1
241806,20260114,1
241817,20260114,1
241818,20260114,1
241896,20260114,1
241897,20260114,1
242906,20260114,1
237319,20260114,1
237320,20260114,1
237324,20260114,1
237356,20260114,1
237961,20260114,1
240272,20260115,1
240258,20260115,1
240428,20260115,1
240454,20260115,1
241786,20260115,1
241806,20260115,1
241817,20260115,1
241818,20260115,1
241896,20260115,1
241897,20260115,1
242906,20260115,1
237319,20260115,1
237320,20260115,1
237324,20260115,1
237356,20260115,1
237361,20260115,1
237919,20260115,1
237961,20260115,1
237966,20260115,1
238018,20260115,1
238096,20260115,1
238427,20260115,1
238479,20260115,1
238917,20260115,1
238918,20260115,1
238919,20260115,1
238987,20260115,1
238989,20260115,1
239283,20260115,1
239427,20260115,1
239574,20260115,1
239587,20260115,1
239648,20260115,1
239650,20260115,1
239667,20260115,1
239669,20260115,1
239721,20260115,1
239763,20260115,1
240203,20260115,1
240323,20260115,1
237319,20260116,1
242906,20260116,1
237324,20260116,1
237356,20260116,1
237361,20260116,1
237919,20260116,1
237961,20260116,1
237966,20260116,1
238018,20260116,1
238096,20260116,1
238427,20260116,1
238479,20260116,1
238917,20260116,1
238918,20260116,1
238919,20260116,1
238987,20260116,1
238989,20260116,1
239283,20260116,1
239427,20260116,1
239574,20260116,1
239587,20260116,1
239648,20260116,1
239650,20260116,1
239667,20260116,1
239669,20260116,1
239721,20260116,1
239763,20260116,1
240203,20260116,1
240258,20260116,1
240272,20260116,1
240323,20260116,1
240428,20260116,1
240454,20260116,1
241786,20260116,1
241806,20260116,1
241817,20260116,1
241818,20260116,1
241896,20260116,1
241897,20260116,1
237320,20260116,1
240451,20260117,1
240323,20260117,1
240499,20260117,1
240957,20260117,1
242560,20260117,1
242562,20260117,1
242587,20260117,1
242588,20260117,1
242589,20260117,1
242655,20260117,1
242657,20260117,1
242908,20260117,1
237320,20260117,1
237321,20260117,1
237361,20260117,1
237936,20260117,1
237943,20260117,1
237948,20260117,1
237949,20260117,1
238096,20260117,1
238400,20260117,1
238458,20260117,1
238486,20260117,1
240260,20260117,1
240454,20260117,1
237321,20260118,1
242908,20260118,1
237936,20260118,1
237937,20260118,1
237943,20260118,1
237948,20260118,1
237949,20260118,1
238400,20260118,1
238458,20260118,1
238486,20260118,1
238668,20260118,1
240260,20260118,1
240451,20260118,1
240452,20260118,1
240454,20260118,1
240499,20260118,1
240957,20260118,1
241902,20260118,1
242560,20260118,1
242562,20260118,1
242587,20260118,1
242588,20260118,1
242589,20260118,1
242651,20260118,1
242655,20260118,1
242657,20260118,1
242659,20260118,1
237328,20260118,1
242588,20260119,1
242587,20260119,1
242651,20260119,1
242655,20260119,1
242659,20260119,1
242908,20260119,1
237321,20260119,1
237325,20260119,1
237328,20260119,1
237336,20260119,1
237357,20260119,1
237936,20260119,1
237937,20260119,1
237943,20260119,1
237948,20260119,1
237949,20260119,1
238400,20260119,1
238458,20260119,1
238486,20260119,1
238668,20260119,1
240260,20260119,1
240451,20260119,1
240452,20260119,1
240454,20260119,1
240499,20260119,1
240957,20260119,1
241902,20260119,1
242560,20260119,1
242562,20260119,1
242589,20260119,1
237319,20260120,1
242906,20260120,1
237328,20260120,1
237356,20260120,1
237919,20260120,1
237937,20260120,1
237961,20260120,1
237966,20260120,1
238018,20260120,1
238427,20260120,1
238479,20260120,1
238668,20260120,1
238917,20260120,1
238918,20260120,1
238919,20260120,1
238987,20260120,1
238989,20260120,1
239283,20260120,1
239427,20260120,1
239574,20260120,1
239587,20260120,1
239648,20260120,1
239650,20260120,1
239667,20260120,1
239669,20260120,1
239721,20260120,1
239763,20260120,1
240203,20260120,1
240258,20260120,1
240272,20260120,1
240428,20260120,1
240452,20260120,1
240454,20260120,1
241786,20260120,1
241806,20260120,1
241817,20260120,1
241818,20260120,1
241896,20260120,1
241897,20260120,1
241902,20260120,1
242562,20260120,1
242651,20260120,1
242659,20260120,1
237324,20260120,1
238919,20260121,1
238918,20260121,1
238989,20260121,1
239283,20260121,1
239427,20260121,1
239574,20260121,1
239587,20260121,1
239648,20260121,1
239650,20260121,1
239667,20260121,1
239669,20260121,1
239721,20260121,1
239763,20260121,1
240203,20260121,1
240258,20260121,1
240272,20260121,1
240323,20260121,1
240428,20260121,1
240454,20260121,1
241786,20260121,1
241806,20260121,1
241817,20260121,1
241818,20260121,1
241896,20260121,1
241897,20260121,1
242906,20260121,1
237319,20260121,1
237320,20260121,1
237324,20260121,1
237356,20260121,1
237361,20260121,1
237919,20260121,1
237961,20260121,1
237966,20260121,1
238018,20260121,1
238096,20260121,1
238427,20260121,1
238479,20260121,1
238917,20260121,1
238987,20260121,1
241897,20260122,1
241896,20260122,1
237319,20260122,1
237320,20260122,1
237324,20260122,1
237356,20260122,1
237361,20260122,1
237919,20260122,1
237961,20260122,1
237966,20260122,1
238018,20260122,1
238096,20260122,1
238427,20260122,1
238479,20260122,1
238917,20260122,1
238918,20260122,1
238919,20260122,1
238987,20260122,1
238989,20260122,1
239283,20260122,1
239427,20260122,1
239574,20260122,1
239587,20260122,1
239648,20260122,1
239650,20260122,1
239667,20260122,1
239669,20260122,1
239721,20260122,1
239763,20260122,1
240203,20260122,1
240258,20260122,1
240272,20260122,1
240323,20260122,1
240428,20260122,1
240454,20260122,1
241786,20260122,1
241806,20260122,1
241817,20260122,1
241818,20260122,1
242906,20260122,1
237319,20260123,1
237320,20260123,1
237324,20260123,1
237356,20260123,1
237361,20260123,1
237919,20260123,1
237961,20260123,1
237966,20260123,1
238018,20260123,1
238096,20260123,1
238427,20260123,1
238479,20260123,1
238917,20260123,1
238918,20260123,1
238919,20260123,1
238987,20260123,1
238989,20260123,1
239283,20260123,1
239427,20260123,1
239574,20260123,1
239587,20260123,1
239648,20260123,1
239650,20260123,1
239667,20260123,1
239669,20260123,1
239721,20260123,1
239763,20260123,1
240203,20260123,1
240258,20260123,1
240272,20260123,1
240323,20260123,1
240428,20260123,1
240454,20260123,1
241786,20260123,1
